url	parent	ps	ns	text
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	a			Inauguration
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	h2			A Message to the Community Regarding Jeffrey Epstein
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	time			September 12, 2019
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			Dear Members of the Harvard Community,
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			All of us have been horrified by the revelations regarding Jeffrey Epstein, and I write today to update our community on steps we are taking in view of current information about his philanthropy to Harvard.
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			Let me start by emphasizing the obvious: Epstein’s reported criminal actions were utterly abhorrent. They flagrantly offend the values of our society and this institution, and we condemn them. We also recognize the profound pain that Epstein caused to his victims and their families, and we commend their courage in coming forward to bring his crimes to light.
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			Epstein’s connections as a donor to this University, and other institutions, raise important concerns. With that in mind, two weeks ago I asked for a review of his donations to Harvard. Our decentralization makes such a review more complicated than it would be at some other institutions. I want to emphasize that this review is ongoing. Our review to date indicates that between 1998 and 2007, Epstein made a number of gifts to support various faculty and institutional research activities across the University. The largest of these was a $6.5 million gift in 2003 to support the Program for Evolutionary Dynamics. The University received other gifts, which totaled approximately $2.4 million, based on current information. Each of these gifts from Epstein and his affiliated foundations to Harvard University predates his guilty plea in June 2008. To date, we have uncovered no gifts received from Epstein or his foundation following his guilty plea. Moreover, we specifically rejected a gift from Epstein following his conviction in 2008. We have also recently learned that Stephen Kosslyn, a former faculty member and a beneficiary of Epstein’s philanthropy, designated Epstein as a Visiting Fellow in the Department of Psychology in 2005. We are seeking to learn more about the nature of that appointment from Dr. Kosslyn, who no longer works at the University.
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			The majority of Epstein’s gifts were designated for current use, not as endowed funds, and nearly all were spent years ago for their intended purposes in support of research and education. Our ongoing review of these gifts has identified one current use fund and one small endowment designated to the Faculty of Arts and Sciences with a total unspent balance of $186,000. After consultation with the Dean of the FAS, we have decided that the University will redirect the unspent resources to organizations that support victims of human trafficking and sexual assault. This is an unusual step for the University, but we have decided it is the proper course of action under the circumstances of Epstein’s egregiously repugnant crimes. The issue of the gifts given to institutions by donors at Jeffrey Epstein’s suggestion, is also one that has emerged in recent days, and we are looking into this as part of our ongoing review.
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			Epstein’s behavior, not just at Harvard, but elsewhere, raises significant questions about how institutions like ours review and vet donors. I will be convening a group here at Harvard to review how we prevent these situations in the future. I also hope to engage our peer institutions to consider how we can collectively improve our processes. We can all learn from each other.
https://harvard.edu/president/news/2019/message-to-community-regarding-jeffrey-epstein	p			Let me end where I began. Jeffrey Epstein’s crimes were repulsive and reprehensible. I profoundly regret Harvard’s past association with him. Conduct such as his has no place in our society. We act today in recognition of that fact. And we do so knowing that the scourge of sexual assault continues to demand our close attention and concerted action.
