url	parent	ps	ns	text
https://harvard.edu/#C	a			       Jump to main content     
https://harvard.edu/#C	a			       Jump to search     
https://harvard.edu/#C	a			       Jump to the footer     
https://harvard.edu/#C	span			         Harvard University       
https://harvard.edu/#C	a			     Menu   
https://harvard.edu/#C	a		span	                 About                 
https://harvard.edu/#C	span			                   Harvard                 
https://harvard.edu/#C	a			Harvard at a Glance
https://harvard.edu/#C	a			Harvard's President
https://harvard.edu/#C	a			Harvard's Leadership
https://harvard.edu/#C	a			Academic Experience
https://harvard.edu/#C	a			Administrative Offices
https://harvard.edu/#C	a			Directories
https://harvard.edu/#C	a			Harvard in the Community
https://harvard.edu/#C	a			News
https://harvard.edu/#C	a		span	                 Admissions                 
https://harvard.edu/#C	span			                   & Aid                 
https://harvard.edu/#C	a			Undergraduate
https://harvard.edu/#C	a			Graduate & Professional Schools
https://harvard.edu/#C	a			Continuing Education
https://harvard.edu/#C	a			Summer Programs
https://harvard.edu/#C	a			                 Schools               
https://harvard.edu/#C	a			Business
https://harvard.edu/#C	a			College
https://harvard.edu/#C	a			Continuing Education
https://harvard.edu/#C	a			Dental
https://harvard.edu/#C	a			Design
https://harvard.edu/#C	a			Divinity
https://harvard.edu/#C	a			Education
https://harvard.edu/#C	a			Engineering
https://harvard.edu/#C	a			Faculty of Arts & Sciences
https://harvard.edu/#C	a			Government
https://harvard.edu/#C	a			Graduate School
https://harvard.edu/#C	a			Law
https://harvard.edu/#C	a			Medical
https://harvard.edu/#C	a			Public Health
https://harvard.edu/#C	a			Radcliffe Institute
https://harvard.edu/#C	a			                 On Campus               
https://harvard.edu/#C	a			Arts and Humanities
https://harvard.edu/#C	a			Athletics
https://harvard.edu/#C	a			Commencement
https://harvard.edu/#C	a			Employment
https://harvard.edu/#C	a			Events
https://harvard.edu/#C	a			HarvardX
https://harvard.edu/#C	a			Library
https://harvard.edu/#C	a			Museums
https://harvard.edu/#C	a			Research
https://harvard.edu/#C	a			Science
https://harvard.edu/#C	a			Visit Harvard
https://harvard.edu/#C	a			                 Gazette News               
https://harvard.edu/#C	a			                 Events               
https://harvard.edu/#C	a			                 Visit               
https://harvard.edu/#C	a			                 Give               
https://harvard.edu/#C	a			Faculty
https://harvard.edu/#C	a			Staff
